bedrooms,bathrooms,floors,condition,sqft_lot,yr_built,price,Column
4,2,1,3,9603,1986,660500,
3,3,1,3,111078,1989,784000,
3,2,2,3,2287,2014,453246,
4,3,3,3,2278,2005,675000,
3,1,1,4,17390,1956,199000,
4,1,1,3,7840,1968,220000,
4,2,1,4,10002,1968,452000,
2,1,1,3,4440,1981,382500,
3,2,3,3,1249,2014,519950,
2,1,1,3,3200,1925,665000,
5,2,1,4,9375,1968,527700,
3,1,1,4,8579,1962,205000,
3,1,1,4,8097,1923,420000,
4,2,1,4,8517,1961,500000,
4,2,2,4,315374,1994,921500,
4,1,2,3,4000,1905,890000,
2,2,2,3,60984,2007,430000,
5,2,1,4,12500,1960,258000,
3,1,1,3,3455,1947,511000,
3,2,2,3,3090,1990,532170,
3,1,1,3,5000,1947,560000,
3,1,1,4,8200,1954,282950,
1,1,1,3,5100,1942,350000,
3,1,1,4,7669,1967,215000,
5,3,2,3,25245,1996,650000,
4,2,1,3,7500,1967,320000,
3,2,1,3,7198,1916,247000,
4,1,1,4,11180,1968,320000,
5,2,1,3,8632,1962,255000,
3,1,1,3,9660,1962,438000,
3,2,2,3,16603,2000,900000,
3,2,1,3,7280,1979,441000,
3,2,1,4,38332,1975,420000,
3,1,1,3,7000,1976,370000,
2,1,1,5,7250,1949,269950,
4,2,2,3,4499,1999,807100,
3,2,1,4,9750,1979,653000,
3,2,1,5,8336,1964,371500,
3,1,1,3,21000,1954,284000,
3,1,1,4,7140,1978,272000,
3,1,1,3,7912,1955,313000,
4,2,2,3,35003,1984,917500,
4,2,2,4,8190,1980,673000,
3,2,2,3,1100,2008,425000,
5,2,1,3,5400,1986,399950,
3,1,1,3,4800,1901,385000,
3,1,1,4,7560,1975,269950,
2,1,1,3,8220,1949,330000,
3,2,2,3,5797,1988,260000,
4,3,1,4,5125,1925,470000,
4,3,2,5,9600,1961,589000,
2,1,2,3,3419,1996,163500,
4,2,2,3,13412,1993,835000,
5,3,1,4,12850,1986,1095000000,
4,1,1,4,10000,1969,269000,
3,2,2,3,8744,1987,560000,
4,1,1,4,2400,1901,615000,
3,2,1,3,10026,1975,585188,
3,1,1,3,9480,1977,305000,
3,1,1,3,8820,1959,166950,
3,2,1,4,9897,1959,799000,
3,2,1,4,7508,1962,400000,
3,1,1,3,10228,1948,230000,
3,2,2,3,5025,2003,256883,
4,2,1,5,6480,1920,423000,
3,2,2,3,4084,2007,465000,
3,2,2,3,66211,1997,440000,
3,1,1,4,155073,1969,385000,
3,1,1,4,11725,1943,210000,
3,2,2,3,14952,1994,297000,
3,1,1,3,5000,1952,470000,
3,1,1,4,7370,1976,226500,
3,1,1,4,8450,1962,274250,
4,1,1,4,11010,1966,840000,
3,2,2,3,4587,2010,677900,
3,1,1,3,5864,1915,425000,
2,1,1,3,9600,1941,180250,
6,3,2,3,3404,1920,464000,
4,2,2,3,7579,1993,320000,
3,2,2,3,1566,2014,625504,
4,2,1,3,12032,1983,592500,
3,2,2,3,17936,2005,465000,
4,2,2,3,6270,1978,477000,
2,1,1,3,16400,1923,280000,
5,3,1,3,33474,1957,1505000000,
3,2,2,3,5692,2000,445838,
2,2,1,3,14864,1947,1072000000,
2,1,1,4,10800,1947,467000,
4,2,2,3,6440,1999,686000,
3,2,1,3,9750,1961,279950,
4,2,2,3,19436,1987,527000,
3,2,1,4,16020,1966,325000,
3,2,2,3,8379,1994,328000,
3,2,1,5,7500,1942,390000,
2,2,1,3,6516,2005,479950,
4,2,1,4,9753,1978,264950,
3,1,1,4,15246,1961,235000,
3,2,2,3,4729,2004,516500,
2,1,2,3,15798,1915,655000,
4,2,1,5,15347,1960,500000,
6,2,1,3,7350,1978,315000,
2,1,1,3,10200,1961,213000,
3,1,1,5,5280,1947,475000,
5,4,2,3,28040,1983,1025000000,
3,2,1,5,94300,1976,416000,
4,1,1,3,4740,1904,410000,
3,3,2,3,221284,1993,800000,
6,2,1,4,14034,1965,472000,
3,1,1,4,8505,1968,225000,
2,1,1,3,6000,1940,210000,
2,1,1,2,5000,1925,455000,
3,1,1,4,8316,1954,225000,
2,1,1,4,3060,1918,480000,
3,2,2,3,11872,1990,363000,
2,1,1,3,5120,1954,181000,
4,2,1,4,7312,1976,250000,
3,1,1,4,3000,1918,481000,
3,2,1,4,7209,1978,260000,
4,2,2,3,7685,2001,455000,
3,2,2,3,36224,1991,415000,
3,1,1,3,3538,1953,349500,
3,2,2,3,7442,1987,245000,
2,2,1,5,9191,1928,592500,
4,1,1,4,7620,1955,385000,
3,1,1,4,11455,1974,315000,
3,1,1,3,10170,1979,255000,
4,2,2,3,4425,2006,693000,
3,1,1,3,4400,1911,780000,
3,1,1,4,8470,1960,237000,
3,2,2,3,40510,1979,525000,
2,1,1,3,5040,1930,425000,
1,1,1,5,10079,1936,369900,
4,2,2,4,7280,1988,290000,
3,1,1,3,10701,1954,285000,
2,1,1,3,4500,1937,415000,
3,2,1,3,9900,1979,272500,
4,4,2,4,57346,1989,1365000000,
2,1,1,4,7538,1939,436000,
3,1,1,4,11390,1967,210000,
3,1,1,3,5898,1961,236000,
3,1,1,3,1306,1954,331000,
3,2,2,3,4510,2006,365000,
3,2,1,5,16258,1960,450000,
4,2,2,3,26300,2014,770000,
4,2,1,3,49375,1997,455000,
3,1,1,3,6000,1908,405000,
4,1,1,4,11325,1969,304900,
2,1,1,3,5265,1931,170000,
4,2,2,3,7048,2005,780000,
3,3,1,4,13959,1988,330000,
4,2,2,3,8666,1992,370000,
5,2,1,3,13500,1979,467000,
3,1,1,3,6720,1980,405000,
5,2,1,3,10300,1985,675000,
2,1,1,4,14100,1954,500000,
4,2,2,4,15770,1968,389999,
4,1,1,4,9025,1975,630000,
4,2,2,3,9528,1992,360000,
4,3,2,3,11060,1986,580000,
3,2,2,5,4166,1929,550000,
4,2,2,3,22111,1994,879000,
3,2,1,3,8959,1993,265000,
3,2,2,3,7286,1990,446500,
3,1,1,3,8880,1963,404000,
3,1,1,3,11914,1957,267500,
4,5,1,3,18641,2002,3075000000,
3,2,2,3,7632,1998,335000,
3,2,1,4,9000,1948,576000,
3,2,2,3,3810,2006,208633,
3,2,1,4,8750,1964,315000,
3,1,1,4,3300,1913,725000,
4,2,1,4,7750,1965,550000,
4,2,2,3,7297,1984,610750,
2,1,1,4,5000,1908,550700,
4,2,2,5,10574,1960,665000,
4,2,1,5,4000,1928,834000,
5,1,1,3,78408,1915,201000,
5,2,2,5,9050,1921,2384000000,
4,3,1,3,12103,1997,1384000000,
4,2,1,3,7700,1979,305000,
3,2,1,5,14052,1948,487000,
3,2,1,4,64904,1988,390000,
2,1,1,4,3864,1916,548000,
4,1,1,3,8775,1943,268750,
5,2,2,3,7119,2013,819900,
3,2,2,3,16200,1984,520000,
3,2,1,3,11204,2003,230000,
3,1,1,3,10248,1969,240000,
2,1,1,3,12092,1922,232000,
2,1,1,3,12092,1922,240500,
3,2,2,3,45004,1987,274975,
4,2,1,4,4400,1922,740000,
3,1,1,2,7636,1952,186375,
3,2,1,4,10289,1977,790000,
4,3,2,3,6750,1951,880000,
6,1,2,4,11180,1955,279000,
3,2,1,3,10530,1991,295000,
2,1,1,3,5000,1924,640000,
4,2,2,5,9525,1968,940000,
4,2,2,3,5238,2003,260000,
3,2,1,3,5569,2004,559900,
4,2,1,5,3500,1911,791500,
3,1,1,3,8250,1954,265000,
3,1,1,3,11547,1954,245000,
4,1,2,4,43995,1962,485000,
4,3,2,3,8414,2010,684000,
3,1,1,3,6840,1957,425000,
4,1,1,4,20000,1991,309600,
4,2,2,3,5823,2002,552250,
4,1,1,3,7134,1943,165000,
4,1,1,3,7134,1943,239900,
2,1,1,4,32633,1930,320000,
3,2,1,4,13464,1987,206600,
4,1,1,3,7690,1973,387000,
1,1,1,3,12120,1967,299000,
4,2,2,3,10460,1965,855000,
3,1,1,4,14400,1954,315000,
2,1,1,5,3120,1907,437500,
4,1,1,4,19800,1969,252000,
4,1,1,5,7475,1955,375000,
4,2,2,3,4862,2005,300000,
4,1,1,4,9600,1954,420000,
3,1,1,3,77972,1928,900000,
3,2,2,3,5750,2000,679900,
3,2,2,3,29970,1992,463000,
5,2,2,4,11340,1978,380000,
4,2,2,3,7912,1994,329500,
3,2,1,3,5608,2013,604950,
5,2,1,4,9570,1966,795000,
3,2,2,3,40438,1994,465000,
4,2,2,3,10400,2002,673000,
4,2,2,3,15420,1991,810000,
4,2,1,4,69415,1989,785000,
4,3,1,3,7500,1986,338000,
3,2,2,3,7222,1993,280000,
4,2,1,5,10754,1954,315000,
4,2,1,5,10754,1954,530000,
5,3,2,3,9914,2004,380000,
3,2,2,3,7562,1994,297000,
4,2,2,3,7331,2004,730000,
3,1,1,3,13500,1940,450000,
3,3,1,3,7750,1997,275000,
4,2,2,3,2849,1960,595000,
3,1,1,3,3348,1904,435000,
2,1,1,1,209959,1954,270000,
3,3,2,3,14338,1986,950000,
4,2,2,3,5337,2001,389000,
4,2,1,3,7800,1968,560000,
4,2,2,4,11585,1969,799000,
3,2,1,4,9600,1983,365500,
3,2,1,3,7352,1979,252350,
4,2,2,3,13780,1993,403950,
4,1,1,3,10726,1954,385000,
4,1,1,3,7620,1957,345000,
3,2,2,4,3128,1979,490000,
3,2,2,3,26977,2005,330000,
4,2,2,3,12090,1953,927000,
4,2,2,4,16619,1983,1118000000,
2,1,1,5,10000,1950,330000,
5,2,1,4,8800,1958,530000,
4,2,1,1,25600,1962,365000,
3,2,1,3,3000,1909,378750,
4,1,1,4,8750,1968,269900,
3,3,2,3,2096,2008,557000,
4,1,1,4,16980,1974,360000,
2,1,1,4,5000,1937,352000,
3,2,2,3,22357,1994,437000,
4,2,2,3,6753,1994,322500,
3,3,2,3,2000,2001,650000,
3,2,3,3,1213,2001,450000,
3,2,1,3,5250,1998,278500,
4,2,2,3,6957,1995,364950,
4,3,1,4,40139,1986,840000,
3,2,2,3,8134,1991,268000,
2,1,1,3,143947,2006,517534,
3,2,2,4,32239,1978,632925,
3,2,2,3,7251,1995,577500,
4,1,1,3,7480,1920,339000,
3,1,1,4,37461,1967,570000,
4,1,1,3,174240,1964,563500,
4,2,1,5,9351,1962,423000,
3,2,2,3,5028,2012,355000,
2,1,1,3,3960,1941,482000,
3,1,1,5,9135,1955,625000,
3,2,2,3,11632,1988,538000,
3,2,2,4,10255,1985,380000,
2,1,1,3,5120,1909,375000,
3,2,1,5,8500,1996,245000,
5,1,1,4,27260,1947,310000,
4,2,1,3,7680,1971,397000,
3,2,2,3,4052,2005,365000,
4,3,2,3,8250,1990,328500,
4,3,2,3,19700,1987,988000,
4,2,1,5,3277,1922,1000000,
3,2,2,3,2138,2005,237000,
4,2,2,3,5280,2003,525000,
4,2,1,3,9627,1976,749000,
5,2,2,3,11800,1983,722500,
3,2,2,3,8750,1991,843000,
2,2,3,3,1372,2000,438000,
3,1,1,3,10875,1977,578000,
3,1,1,5,8230,1954,227950,
3,2,2,3,11576,1974,196000,
2,1,1,3,5332,1953,641000,
3,1,1,4,219978,1980,350000,
3,1,1,4,7980,1960,205000,
3,1,1,3,9102,1968,400000,
3,2,1,3,5460,1972,505000,
5,2,1,3,7200,1975,475000,
3,2,1,5,9263,1977,520000,
3,1,1,3,9732,1965,333500,
3,1,1,4,10403,1976,232000,
3,2,1,4,16117,1983,691100,
3,1,1,4,9897,1960,811000,
3,2,2,3,5802,2001,551000,
3,2,2,3,3640,1994,496500,
3,3,2,4,20978,1980,705000,
4,2,1,5,9225,1966,578000,
3,1,1,5,8659,1986,255000,
3,2,2,4,8491,1989,348000,
3,2,2,3,3413,1985,230000,
4,2,2,3,11250,1988,359500,
3,1,1,3,7000,1953,330000,
1,1,1,2,5050,1912,80000,
3,1,1,3,6360,1954,465000,
4,2,2,3,7324,1997,325000,
3,2,1,4,28025,1947,340500,
3,2,2,3,5192,1993,342500,
2,2,2,3,17600,1930,290900,
3,4,2,3,6161,2000,868700,
4,2,2,3,8400,1928,1199000000,
4,2,2,3,6298,2011,859900,
4,2,2,3,3006,2003,520000,
3,2,2,3,2527,2005,460000,
3,1,1,3,4590,1949,438924,
2,1,1,3,6550,1918,315000,
4,2,1,3,10650,1975,590000,
4,1,1,3,8640,1955,378500,
3,2,2,4,8130,1990,328500,
3,3,2,4,9773,1973,849950,
3,1,1,3,6000,1950,525000,
4,3,2,3,181319,1993,1385000000,
4,2,1,4,7725,1978,295000,
6,3,2,3,11793,1998,1067000000,
2,2,1,3,5000,1917,207950,
4,2,2,3,7302,2002,699900,
4,1,1,4,7350,1963,452000,
3,2,1,4,5036,1987,370000,
3,1,1,5,11230,1968,232000,
5,2,2,4,14062,1960,669950,
3,2,1,3,6710,1972,397500,
2,2,2,3,1391,2004,490000,
4,2,2,3,4140,1925,725000,
3,2,1,4,19635,1958,299000,
2,1,1,4,5750,1900,625000,
3,2,2,3,4500,2000,437500,
4,2,2,3,5438,2003,650000,
2,1,1,3,3825,1929,475000,
3,2,1,4,11947,1966,342000,
4,2,2,3,7800,1999,119735000000,
3,1,1,4,11610,1963,280000,
2,1,1,3,7200,1993,240000,
3,1,1,4,3328,1924,529000,
3,1,1,4,5100,1941,442000,
2,1,1,4,6872,1946,615000,
4,3,2,3,10800,2006,1485000000,
4,1,1,4,7559,1981,585000,
4,2,2,3,7787,2005,480000,
5,3,2,4,57063,1990,1095000000,
4,1,1,3,8184,1949,290000,
3,1,1,5,5000,1951,615000,
2,1,1,4,7680,1950,300000,
3,1,1,3,39150,1932,308000,
3,2,2,3,7745,2001,750000,
4,3,2,3,194278,2005,890000,
3,1,1,5,7560,1958,288000,
2,1,1,3,6000,1943,190000,
5,3,1,3,5105,2005,515000,
4,1,1,4,11054,1930,235000,
2,1,1,3,5000,1951,275000,
2,2,1,4,9119,1952,727500,
4,2,2,3,6587,2003,650000,
4,1,1,3,7085,1944,365000,
3,1,1,3,36947,1984,662000,
3,2,1,3,7848,1978,270500,
2,1,2,3,1898,1978,200000,
4,3,2,3,76230,1987,970000,
3,1,1,4,9600,1962,160000,
3,1,1,4,7405,1971,204000,
3,2,2,4,6655,1985,358000,
4,1,1,3,8268,1979,452000,
2,2,1,4,4000,1900,595000,
3,2,1,3,6082,1994,249000,
4,2,2,3,5106,1999,346900,
3,2,2,4,24069,1976,2125000000,
4,2,2,3,4350,2003,280000,
4,1,1,4,12000,1973,318888,
3,2,1,3,40518,1967,530000,
3,2,2,4,18500,1983,375000,
4,2,2,3,29242,1988,910000,
4,2,2,4,9614,1991,782000,
2,2,2,3,649,2008,259950,
4,2,1,4,18360,1979,315000,
2,1,1,4,8865,1943,215000,
3,1,1,4,10221,1946,705000,
3,1,2,3,9813,1949,451000,
2,1,1,4,8125,1943,261000,
3,1,1,5,8280,1956,396000,
4,2,2,3,29170,1999,725000,
4,1,1,3,7242,1959,238000,
6,1,2,4,9563,1973,750000,
4,2,2,3,10271,1998,331500,
4,3,1,3,108900,1978,460000,
4,2,1,4,217014,1982,404950,
3,2,2,3,5163,2014,880000,
4,2,2,3,22370,1997,863000,
3,1,1,3,9162,1960,638700,
3,2,2,3,5680,2008,435000,
3,1,1,4,5350,1959,260000,
5,2,1,5,4000,1927,671500,
3,1,1,3,3400,1907,610000,
2,1,1,4,15029,1937,405000,
4,2,2,3,5612,2003,338900,
4,4,2,3,7708,2004,720000,
5,3,1,4,5445,1927,442000,
5,2,1,5,5040,1902,650000,
3,1,1,3,9917,1981,263500,
2,1,1,4,75794,1963,300000,
3,2,2,3,3402,2009,266000,
4,4,2,3,84942,2009,930000,
4,2,2,3,5493,2004,530000,
3,1,1,4,8960,1965,180000,
3,2,2,3,6439,2005,619000,
3,1,1,4,10608,1962,264000,
2,2,1,4,4920,1941,730000,
4,2,2,3,10070,1975,439000,
4,1,1,4,7500,1981,268500,
3,1,1,3,15744,1985,330000,
3,2,1,3,4000,1903,640000,
3,2,2,4,12600,1978,900000,
3,2,2,4,13300,1985,370000,
3,2,1,5,2900,1931,685000,
3,1,1,3,217800,1981,505000,
3,1,1,4,32666,1966,265000,
3,2,2,3,2937,2006,290000,
4,2,2,3,3600,2006,296000,
4,2,2,3,9611,1996,360000,
3,1,1,3,10584,1997,240500,
2,2,2,3,2958,2007,372500,
3,2,2,3,14402,2004,595000,
4,3,2,3,8249,1997,515000,
2,1,1,3,6460,2004,507000,
4,2,1,3,31465,1984,399950,
3,1,2,3,10816,1994,185000,
3,1,1,3,7070,1980,460000,
3,2,2,3,4789,1985,435500,
4,2,1,5,13938,1966,469000,
2,3,2,3,1175,2000,531000,
2,1,1,3,6804,1949,443500,
3,2,1,3,6824,1990,223000,
4,3,2,3,15842,1996,590000,
2,2,3,3,1760,1997,340000,
3,2,1,4,3388,1925,650000,
3,2,2,4,5080,1990,533600,
3,2,2,3,4694,2005,695000,
3,1,1,4,7524,1988,242000,
3,2,1,3,8814,1967,425000,
3,2,2,3,9414,1981,525000,
3,2,2,3,5502,1988,485000,
3,1,1,3,9775,1971,175000,
3,2,1,3,7210,1983,210000,
3,2,2,3,7415,1989,260000,
3,2,1,3,5750,1976,577000,
3,1,1,4,10588,1958,200000,
2,1,1,4,5000,1927,605000,
3,1,1,4,6750,1947,325000,
3,1,1,4,6400,1944,289500,
3,2,3,3,1458,2014,559950,
3,1,1,4,9375,1941,10425000000,
3,2,1,3,2790,1970,543500,
4,2,2,4,34293,1983,480000,
3,1,1,5,9633,1982,218000,
2,1,1,4,6000,1914,565000,
3,1,1,5,7700,1968,426700,
3,2,1,3,11575,1957,650000,
2,1,1,3,3060,1910,542000,
3,1,1,3,8000,1977,415000,
3,1,1,4,8316,1953,214000,
3,1,2,5,8910,1949,245000,
3,2,1,3,13303,1993,314500,
2,2,1,3,3850,1963,378000,
4,2,1,3,9091,1982,305000,
5,2,1,4,6750,1978,595000,
3,2,3,3,1091,2015,729500,
3,2,2,3,6699,2003,430000,
3,1,1,3,6500,1987,240000,
3,1,1,3,6200,1916,545000,
3,1,1,3,2500,1918,530000,
1,1,1,3,26326,1939,157000,
4,1,1,3,7645,1925,425000,
3,1,1,3,6020,1944,220000,
4,1,1,4,36400,1976,521000,
3,1,1,3,6862,1952,325000,
3,2,1,4,5400,1911,597500,
3,2,2,3,3976,1999,337000,
3,2,2,3,10492,1991,1000000,
3,1,1,3,6000,1943,495000,
4,3,2,3,3330,2001,748000,
3,1,1,4,8710,1953,888000,
3,1,1,3,22267,1986,269900,
4,2,1,3,14440,1967,496500,
3,2,2,3,5097,1969,475000,
3,1,3,3,1374,2004,312000,
3,1,1,3,12231,1976,323000,
3,1,1,3,9079,1986,331000,
3,1,3,3,1086,2007,306000,
4,2,3,3,4000,2002,655000,
3,1,1,4,15954,1959,290000,
3,1,1,4,4708,1949,460000,
4,2,1,4,6380,1940,435000,
4,2,1,5,11880,1978,664000,
4,1,2,4,4180,1921,865000,
3,1,1,3,18000,1968,385000,
3,2,1,3,9315,1975,497000,
2,1,1,4,3000,1925,280000,
2,1,1,3,17487,1924,188000,
3,1,1,3,4755,1969,478500,
4,3,2,3,18361,2001,1145000000,
3,2,1,4,7187,1981,222000,
4,3,2,3,209523,1984,799000,
4,2,2,3,7399,2006,609900,
4,3,2,4,5809,1995,413000,
4,1,1,3,4875,1930,400000,
5,2,2,3,6768,2014,802541,
3,2,2,3,7757,1990,320000,
4,2,2,3,7649,2006,507000,
3,1,1,3,8329,1946,387500,
3,1,1,3,12616,1967,396000,
3,1,1,3,11788,1958,373000,
5,2,2,5,19252,1965,14849000000,
4,2,2,3,7698,1983,359900,
2,1,1,3,4342,1927,410000,
4,2,2,3,23488,1992,690000,
3,2,1,3,5760,1985,245000,
5,2,1,5,25958,1979,700000,
4,1,1,3,9966,1977,268000,
3,1,1,3,26055,1979,225000,
4,2,2,3,11034,1976,980000,
2,1,1,3,5000,1905,795000,
2,1,1,3,5100,1953,195000,
4,2,1,2,10575,1950,480000,
4,2,1,3,3600,1900,485000,
2,1,1,3,9000,1928,130000,
2,1,1,4,5703,1946,325000,
3,1,1,4,7245,1984,440000,
4,1,1,3,14782,1958,550000,
3,1,1,5,7150,1967,310000,
3,2,2,4,39478,1989,530000,
4,2,2,3,8548,1993,390000,
3,1,1,4,12125,1981,243000,
4,2,2,3,9875,1990,639000,
4,1,1,4,7400,1969,215000,
5,1,1,3,10500,1961,405000,
4,1,1,5,7140,1968,250000,
3,1,1,5,8108,1954,405500,
6,2,2,3,13579,1937,452000,
6,2,2,3,13579,1937,730000,
3,2,1,3,9644,1994,267000,
3,2,2,3,6186,2002,289950,
2,1,1,5,4080,1911,565000,
4,3,2,4,51836,1988,1578000000,
3,2,2,3,2770,2007,636000,
5,3,1,3,5500,2004,350000,
3,1,1,5,9380,1978,320000,
2,1,1,4,5680,1978,210000,
2,1,1,3,5900,1950,245000,
3,1,1,3,7650,1983,328000,
4,2,2,3,37769,1989,985000,
3,1,1,5,7972,1976,501000,
3,2,2,3,17424,1992,315000,
3,2,2,3,8354,2012,403000,
3,2,2,4,17950,1934,550000,
4,2,2,3,3562,2012,347500,
4,2,2,4,8893,1986,365000,
3,1,1,4,8167,1951,588000,
3,1,1,4,7400,1977,605000,
3,2,1,3,9177,1974,233000,
4,2,2,3,17715,1997,360000,
2,1,1,3,4887,1929,459000,
3,2,1,4,72745,1995,740000,
3,1,1,3,9750,1967,305000,
3,1,1,3,4000,1925,395000,
4,2,2,3,6000,2000,560000,
4,1,1,4,5070,1963,650000,
3,2,2,3,4912,2003,449950,
3,1,1,4,5200,1940,517500,
4,1,1,3,6460,1970,435000,
3,1,1,3,6908,1952,329999,
3,1,1,5,4200,1960,950000,
3,1,1,5,6001,1944,447000,
2,2,1,3,6600,2010,699800,
3,1,1,5,3850,1911,850000,
3,1,1,3,14250,1979,316500,
5,3,1,4,9612,1981,942500,
4,2,1,4,13430,1964,856600,
5,1,2,4,4000,1918,405600,
4,2,2,3,22594,1996,565000,
3,2,2,3,1149,2008,400000,
3,2,1,3,218252,1997,330000,
4,2,2,3,4683,2005,374950,
3,2,1,5,7939,1983,405300,
3,2,2,3,31400,1984,560000,
4,2,1,4,9864,1961,824000,
3,1,1,5,10968,1984,260000,
4,2,1,5,6099,1965,760000,
3,2,2,3,12750,1995,405000,
4,2,2,3,8625,1987,429900,
3,1,1,4,7223,1961,341500,
5,2,1,3,7642,1957,465250,
2,2,1,3,3000,1912,450000,
3,1,1,4,10800,1955,390000,
3,2,1,4,8030,1963,420000,
3,2,2,3,4838,2002,269950,
4,2,1,3,2874,1910,493000,
4,2,2,3,5880,1998,370000,
3,1,1,5,23680,1967,305000,
3,1,1,5,8219,1938,400000,
3,1,2,3,1221,2009,320000,
4,1,2,4,4800,1911,715000,
6,2,1,4,10003,1966,650000,
5,1,1,4,8040,1966,218000,
2,1,1,3,5400,1964,500000,
4,2,1,4,40419,1984,460000,
3,1,1,4,9887,1969,232500,
3,2,2,4,5761,1990,408200,
3,1,1,4,8400,1980,522000,
4,2,2,3,11120,1982,675000,
4,3,1,3,11000,1999,1355000000,
4,1,1,3,7980,1952,249950,
2,1,1,3,34133,1950,210000,
4,1,1,3,7216,1947,429950,
4,2,2,3,36276,1993,737500,
4,2,1,5,9000,1958,710000,
