bedrooms,bathrooms,floors,waterfront,condition,grade,sqft_lot,yr_built,price
5,3,1,0,4,11,50094,1973,1.04e+006
3,2,1,0,4,7,5612,1972,325000
4,2,1,0,5,7,7807,1916,571000
4,2,2,0,3,8,5000,2005,360000
3,1,1,0,5,7,50529,1965,349000
4,4,2,0,4,10,35102,1986,832500
4,1,1,0,3,7,7300,1956,380000
3,1,1,0,3,7,5060,1941,480000
3,1,1,0,4,7,5060,1956,410000
4,2,2,0,3,10,39683,2002,720000
3,2,2,0,3,8,5100,2003,390000
4,2,2,0,3,7,5889,1992,360000
2,1,1,0,3,7,6720,1948,355000
3,1,1,0,3,8,8712,1964,356000
3,1,1,0,3,6,6634,1952,315000
3,1,2,0,3,9,3600,1925,940000
5,2,1,0,5,7,8400,1961,305000
3,3,2,0,3,9,6278,2006,461000
2,2,2,0,4,7,2040,1979,215000
2,1,2,0,3,7,1066,2006,335000
4,2,2,0,3,7,7403,1988,243500
5,2,2,0,4,10,6353,2001,109988000000
3,1,1,0,3,7,10500,1962,153000
3,1,1,0,3,8,5000,1939,430000
3,1,1,0,3,8,5000,1939,700000
4,2,1,0,3,7,10250,1946,905000
3,1,1,0,3,7,15681,1967,247500
4,1,1,0,4,7,6400,1975,199000
3,1,1,0,5,7,41800,1980,314000
3,2,2,0,3,9,36847,1992,437500
3,2,1,0,5,9,13241,1910,850830
3,2,1,0,4,7,3478,1929,555000
3,2,2,0,4,8,107593,1983,699950
3,2,2,0,3,8,8113,1950,1088000000
3,1,1,0,3,7,33919,1954,290000
3,2,1,0,4,8,10005,1978,375000
3,1,1,0,4,7,4005,1939,460000
2,1,1,0,4,8,2493,1985,188500
4,2,2,0,4,10,28037,1991,680000
5,1,2,0,4,7,12342,1942,470000
4,2,2,0,3,8,9624,1984,597750
3,1,1,0,5,6,3328,1905,570000
3,1,1,0,4,7,12600,1980,272500
3,1,1,0,3,7,5969,1971,329950
4,2,2,0,3,9,16171,2001,480000
3,3,2,0,3,8,6350,1900,740500
3,3,3,0,3,8,1102,2010,518500
2,1,1,0,4,6,6780,1945,205425
4,2,1,0,3,6,9600,1950,171800
4,1,1,0,4,7,2982,1925,535000
3,2,1,0,3,8,6474,1964,660000
3,2,1,0,3,7,9132,1987,391500
2,1,1,0,3,6,6000,1953,395000
4,1,1,0,5,7,4400,1924,445000
3,2,2,0,3,9,10204,1990,770000
4,2,1,0,3,8,17789,1914,1.45e+006
3,2,1,0,3,8,8201,1967,445000
4,2,1,0,3,8,8811,1978,260000
5,3,2,0,5,7,4960,1926,822500
4,2,2,0,3,7,4310,2004,430000
3,1,1,0,4,7,7875,1986,212000
4,2,1,0,3,8,9603,1986,660500
3,3,1,0,3,9,111078,1989,784000
3,2,2,0,3,8,2287,2014,453246
4,3,3,0,3,9,2278,2005,675000
3,1,1,0,4,7,17390,1956,199000
4,1,1,0,3,7,7840,1968,220000
4,2,1,0,4,8,10002,1968,452000
2,1,1,0,3,6,4440,1981,382500
3,2,3,0,3,8,1249,2014,519950
2,1,1,0,3,7,3200,1925,665000
5,2,1,0,4,8,9375,1968,527700
3,1,1,0,4,7,8579,1962,205000
3,1,1,0,4,7,8097,1923,420000
4,2,1,0,4,8,8517,1961,500000
4,2,2,0,4,9,315374,1994,921500
4,1,2,0,3,8,4000,1905,890000
2,2,2,0,3,7,60984,2007,430000
5,2,1,0,4,8,12500,1960,258000
3,1,1,0,3,7,3455,1947,511000
3,2,2,0,3,8,3090,1990,532170
3,1,1,0,3,7,5000,1947,560000
3,1,1,0,4,7,8200,1954,282950
4,3,2,0,3,12,19850,2006,2.25e+006
1,1,1,0,3,7,5100,1942,350000
3,1,1,0,4,7,7669,1967,215000
5,3,2,0,3,9,25245,1996,650000
4,2,1,0,3,8,7500,1967,320000
3,2,1,0,3,7,7198,1916,247000
4,1,1,0,4,8,11180,1968,320000
5,2,1,0,3,7,8632,1962,255000
3,1,1,0,3,7,9660,1962,438000
3,2,2,0,3,10,16603,2000,900000
3,2,1,0,3,7,7280,1979,441000
3,2,1,0,4,7,38332,1975,420000
3,1,1,0,3,7,7000,1976,370000
2,1,1,0,5,5,7250,1949,269950
4,2,2,0,3,9,4499,1999,807100
3,2,1,0,4,8,9750,1979,653000
3,2,1,0,5,7,8336,1964,371500
3,1,1,0,3,7,21000,1954,284000
3,1,1,0,4,7,7140,1978,272000
3,1,1,0,3,7,7912,1955,313000
4,2,2,0,3,10,35003,1984,917500
4,2,2,0,4,8,8190,1980,673000
3,2,2,0,3,8,1100,2008,425000
5,2,1,0,3,7,5400,1986,399950
3,1,1,0,3,6,4800,1901,385000
3,1,1,0,4,7,7560,1975,269950
2,1,1,0,3,7,8220,1949,330000
3,2,2,0,3,7,5797,1988,260000
4,3,1,0,4,7,5125,1925,470000
4,3,2,0,5,7,9600,1961,589000
2,1,2,0,3,7,3419,1996,163500
4,2,2,0,3,9,13412,1993,835000
5,3,1,0,4,10,12850,1986,1095000000
4,1,1,0,4,8,10000,1969,269000
3,2,2,0,3,8,8744,1987,560000
4,1,1,0,4,6,2400,1901,615000
3,2,1,0,3,8,10026,1975,585188
3,1,1,0,3,7,9480,1977,305000
3,1,1,0,3,6,8820,1959,166950
3,2,1,0,4,8,9897,1959,799000
3,2,1,0,4,7,7508,1962,400000
3,1,1,0,3,7,10228,1948,230000
3,2,2,0,3,8,5025,2003,256883
4,2,1,0,5,7,6480,1920,423000
3,2,2,0,3,8,4084,2007,465000
3,2,2,0,3,7,66211,1997,440000
3,1,1,0,4,7,155073,1969,385000
3,1,1,0,4,6,11725,1943,210000
3,2,2,0,3,8,14952,1994,297000
3,1,1,0,3,7,5000,1952,470000
3,1,1,0,4,7,7370,1976,226500
3,1,1,0,4,6,8450,1962,274250
4,1,1,0,4,9,11010,1966,840000
3,2,2,0,3,8,4587,2010,677900
3,1,1,0,3,7,5864,1915,425000
2,1,1,0,3,6,9600,1941,180250
6,3,2,0,3,7,3404,1920,464000
4,2,2,0,3,8,7579,1993,320000
3,2,2,0,3,8,1566,2014,625504
4,2,1,0,3,9,12032,1983,592500
3,2,2,0,3,9,17936,2005,465000
4,2,2,0,3,8,6270,1978,477000
2,1,1,0,3,6,16400,1923,280000
5,3,1,0,3,9,33474,1957,1505000000
3,2,2,0,3,8,5692,2000,445838
2,2,1,0,3,8,14864,1947,1072000000
2,1,1,0,4,8,10800,1947,467000
4,2,2,0,3,10,6440,1999,686000
3,2,1,0,3,7,9750,1961,279950
4,2,2,0,3,8,19436,1987,527000
3,2,1,0,4,8,16020,1966,325000
3,2,2,0,3,7,8379,1994,328000
3,2,1,0,5,7,7500,1942,390000
2,2,1,0,3,8,6516,2005,479950
4,2,1,0,4,7,9753,1978,264950
3,1,1,0,4,7,15246,1961,235000
3,2,2,0,3,7,4729,2004,516500
2,1,2,1,3,7,15798,1915,655000
4,2,1,0,5,7,15347,1960,500000
6,2,1,0,3,8,7350,1978,315000
2,1,1,0,3,6,10200,1961,213000
3,1,1,0,5,7,5280,1947,475000
5,4,2,0,3,10,28040,1983,1025000000
3,2,1,0,5,7,94300,1976,416000
4,1,1,0,3,7,4740,1904,410000
3,3,2,0,3,10,221284,1993,800000
6,2,1,0,4,9,14034,1965,472000
3,1,1,0,4,7,8505,1968,225000
2,1,1,0,3,6,6000,1940,210000
2,1,1,0,2,7,5000,1925,455000
3,1,1,0,4,6,8316,1954,225000
2,1,1,0,4,7,3060,1918,480000
3,2,2,0,3,9,11872,1990,363000
4,2,1,1,3,9,8354,2000,2.4e+006
2,1,1,0,3,6,5120,1954,181000
4,2,1,0,4,7,7312,1976,250000
3,1,1,0,4,6,3000,1918,481000
3,2,1,0,4,7,7209,1978,260000
4,2,2,0,3,9,7685,2001,455000
3,2,2,0,3,8,36224,1991,415000
3,1,1,0,3,7,3538,1953,349500
3,2,2,0,3,7,7442,1987,245000
2,2,1,0,5,7,9191,1928,592500
4,1,1,0,4,7,7620,1955,385000
3,1,1,0,4,7,11455,1974,315000
3,1,1,0,3,7,10170,1979,255000
4,2,2,0,3,8,4425,2006,693000
3,1,1,0,3,8,4400,1911,780000
3,1,1,0,4,7,8470,1960,237000
3,2,2,0,3,10,40510,1979,525000
2,1,1,0,3,5,5040,1930,425000
1,1,1,1,5,5,10079,1936,369900
4,2,2,0,4,7,7280,1988,290000
3,1,1,0,3,7,10701,1954,285000
2,1,1,0,3,7,4500,1937,415000
3,2,1,0,3,8,9900,1979,272500
4,3,1,0,3,11,20100,1982,2.9e+006
4,4,2,0,4,11,57346,1989,1365000000
2,1,1,0,4,7,7538,1939,436000
3,1,1,0,4,7,11390,1967,210000
3,1,1,0,3,7,5898,1961,236000
3,1,1,0,3,7,1306,1954,331000
3,2,2,0,3,8,4510,2006,365000
3,2,1,0,5,8,16258,1960,450000
4,2,2,0,3,9,26300,2014,770000
4,2,1,0,3,8,49375,1997,455000
3,1,1,0,3,6,6000,1908,405000
4,1,1,0,4,7,11325,1969,304900
2,1,1,0,3,6,5265,1931,170000
5,3,2,0,5,9,8480,1905,2.05e+006
4,2,2,0,3,9,7048,2005,780000
3,3,1,0,4,8,13959,1988,330000
4,2,2,0,3,9,8666,1992,370000
5,2,1,0,3,7,13500,1979,467000
3,1,1,0,3,7,6720,1980,405000
5,2,1,0,3,8,10300,1985,675000
2,1,1,0,4,7,14100,1954,500000
4,2,2,0,4,7,15770,1968,389999
4,1,1,0,4,8,9025,1975,630000
4,2,2,0,3,9,9528,1992,360000
4,3,2,0,3,8,11060,1986,580000
3,2,2,0,5,8,4166,1929,550000
4,2,2,0,3,10,22111,1994,879000
3,2,1,0,3,7,8959,1993,265000
3,2,2,0,3,8,7286,1990,446500
3,1,1,0,3,7,8880,1963,404000
3,1,1,0,3,7,11914,1957,267500
4,5,1,1,3,10,18641,2002,3075000000
3,2,2,0,3,8,7632,1998,335000
3,2,1,0,4,7,9000,1948,576000
3,2,2,0,3,8,3810,2006,208633
3,2,1,0,4,7,8750,1964,315000
3,1,1,0,4,8,3300,1913,725000
4,2,1,0,4,8,7750,1965,550000
4,2,2,0,3,8,7297,1984,610750
2,1,1,0,4,6,5000,1908,550700
4,2,2,0,5,8,10574,1960,665000
4,2,1,0,5,8,4000,1928,834000
5,1,1,0,3,6,78408,1915,201000
5,2,2,0,5,10,9050,1921,2384000000
4,3,1,0,3,11,12103,1997,1384000000
4,3,1,0,3,11,12103,1997,1.4e+006
4,2,1,0,3,8,7700,1979,305000
3,2,1,0,5,8,14052,1948,487000
3,2,1,0,4,8,64904,1988,390000
2,1,1,0,4,7,3864,1916,548000
4,1,1,0,3,6,8775,1943,268750
5,2,2,0,3,9,7119,2013,819900
3,2,2,0,3,8,16200,1984,520000
3,2,1,0,3,7,11204,2003,230000
3,1,1,0,3,7,10248,1969,240000
2,1,1,0,3,6,12092,1922,232000
2,1,1,0,3,6,12092,1922,240500
3,2,2,0,3,9,45004,1987,274975
4,2,1,0,4,9,4400,1922,740000
3,1,1,0,2,7,7636,1952,186375
3,2,1,0,4,9,10289,1977,790000
4,3,2,0,3,9,6750,1951,880000
6,1,2,0,4,7,11180,1955,279000
3,2,1,0,3,8,10530,1991,295000
2,1,1,0,3,7,5000,1924,640000
4,2,2,0,5,9,9525,1968,940000
4,2,2,0,3,7,5238,2003,260000
3,2,1,0,3,9,5569,2004,559900
4,2,1,0,5,7,3500,1911,791500
3,1,1,0,3,7,8250,1954,265000
3,1,1,0,3,7,11547,1954,245000
4,1,2,0,4,7,43995,1962,485000
4,3,2,0,3,9,8414,2010,684000
3,1,1,0,3,8,6840,1957,425000
4,1,1,0,4,6,20000,1991,309600
4,2,2,0,3,8,5823,2002,552250
4,1,1,0,3,6,7134,1943,165000
4,1,1,0,3,6,7134,1943,239900
2,1,1,0,4,6,32633,1930,320000
3,2,1,0,4,7,13464,1987,206600
4,1,1,0,3,7,7690,1973,387000
1,1,1,0,3,4,12120,1967,299000
4,2,2,0,3,9,10460,1965,855000
3,1,1,0,4,7,14400,1954,315000
2,1,1,0,5,7,3120,1907,437500
4,1,1,0,4,7,19800,1969,252000
4,1,1,0,5,7,7475,1955,375000
4,2,2,0,3,7,4862,2005,300000
4,1,1,0,4,7,9600,1954,420000
3,1,1,0,3,7,77972,1928,900000
3,2,2,0,3,9,5750,2000,679900
3,2,2,0,3,7,29970,1992,463000
5,2,2,0,4,9,11340,1978,380000
4,2,2,0,3,7,7912,1994,329500
3,2,1,0,3,8,5608,2013,604950
5,2,1,0,4,8,9570,1966,795000
3,2,2,0,3,7,40438,1994,465000
4,2,2,0,3,9,10400,2002,673000
4,2,2,0,3,10,15420,1991,810000
4,2,1,0,4,8,69415,1989,785000
4,3,1,0,3,7,7500,1986,338000
3,2,2,0,3,7,7222,1993,280000
4,2,1,0,5,7,10754,1954,315000
4,2,1,0,5,7,10754,1954,530000
5,3,2,0,3,9,9914,2004,380000
3,2,2,0,3,7,7562,1994,297000
4,2,2,0,3,10,7331,2004,730000
3,1,1,0,3,7,13500,1940,450000
3,3,1,0,3,7,7750,1997,275000
4,2,2,0,3,7,2849,1960,595000
3,1,1,0,3,7,3348,1904,435000
2,1,1,0,1,6,209959,1954,270000
3,3,2,0,3,10,14338,1986,950000
4,2,2,0,3,7,5337,2001,389000
4,2,1,0,3,8,7800,1968,560000
5,3,2,0,3,11,14984,1998,1.35e+006
4,2,2,0,4,8,11585,1969,799000
3,2,1,0,4,7,9600,1983,365500
3,2,1,0,3,7,7352,1979,252350
4,2,2,0,3,8,13780,1993,403950
4,1,1,0,3,7,10726,1954,385000
4,1,1,0,3,7,7620,1957,345000
3,2,2,0,4,9,3128,1979,490000
3,2,2,0,3,8,26977,2005,330000
4,2,2,0,3,8,12090,1953,927000
4,2,2,0,4,10,16619,1983,1118000000
2,1,1,0,5,7,10000,1950,330000
5,2,1,0,4,7,8800,1958,530000
4,2,1,0,1,8,25600,1962,365000
3,2,1,0,3,7,3000,1909,378750
4,1,1,0,4,7,8750,1968,269900
3,3,2,0,3,8,2096,2008,557000
4,1,1,0,4,7,16980,1974,360000
2,1,1,0,4,7,5000,1937,352000
3,2,2,0,3,8,22357,1994,437000
4,2,2,0,3,7,6753,1994,322500
3,3,2,0,3,9,2000,2001,650000
3,2,3,0,3,8,1213,2001,450000
3,2,1,0,3,7,5250,1998,278500
4,2,2,0,3,8,6957,1995,364950
4,3,1,0,4,10,40139,1986,840000
3,2,2,0,3,7,8134,1991,268000
2,1,1,0,3,5,143947,2006,517534
3,2,2,0,4,8,32239,1978,632925
3,2,2,0,3,9,7251,1995,577500
4,1,1,0,3,7,7480,1920,339000
3,1,1,0,4,7,37461,1967,570000
4,1,1,0,3,7,174240,1964,563500
4,2,1,0,5,7,9351,1962,423000
3,2,2,0,3,8,5028,2012,355000
5,4,2,0,3,12,171626,1999,1.55e+006
2,1,1,0,3,7,3960,1941,482000
3,1,1,0,5,7,9135,1955,625000
3,2,2,0,3,8,11632,1988,538000
3,2,2,0,4,8,10255,1985,380000
2,1,1,0,3,7,5120,1909,375000
3,2,1,0,5,7,8500,1996,245000
5,1,1,0,4,7,27260,1947,310000
3,2,1,0,4,8,15021,1976,1.3e+006
4,2,1,0,3,7,7680,1971,397000
3,2,2,0,3,8,4052,2005,365000
4,3,2,0,3,9,8250,1990,328500
4,3,2,0,3,11,19700,1987,988000
4,2,1,0,5,8,3277,1922,1000000
3,2,2,0,3,7,2138,2005,237000
4,2,2,0,3,8,5280,2003,525000
4,2,1,0,3,9,9627,1976,749000
5,2,2,0,3,10,11800,1983,722500
3,2,2,0,3,10,8750,1991,843000
2,2,3,0,3,8,1372,2000,438000
3,1,1,0,3,8,10875,1977,578000
3,1,1,0,5,7,8230,1954,227950
3,2,2,0,3,7,11576,1974,196000
2,1,1,0,3,8,5332,1953,641000
3,1,1,0,4,6,219978,1980,350000
3,1,1,0,4,7,7980,1960,205000
3,1,1,0,3,7,9102,1968,400000
3,2,1,0,3,10,9816,2005,1.03e+006
3,2,1,0,3,7,5460,1972,505000
5,2,1,0,3,7,7200,1975,475000
3,2,1,0,5,8,9263,1977,520000
3,4,2,0,3,10,24920,1977,1.45e+006
3,1,1,0,3,7,9732,1965,333500
3,1,1,0,4,6,10403,1976,232000
3,2,1,0,4,8,16117,1983,691100
3,1,1,0,4,8,9897,1960,811000
3,2,2,0,3,9,5802,2001,551000
3,2,2,0,3,8,3640,1994,496500
3,3,2,1,4,9,20978,1980,705000
4,2,1,0,5,9,9225,1966,578000
3,1,1,0,5,7,8659,1986,255000
4,3,2,0,3,10,7832,2007,1.05e+006
3,2,2,0,4,8,8491,1989,348000
3,2,2,0,3,7,3413,1985,230000
4,2,2,0,3,9,11250,1988,359500
3,1,1,0,3,6,7000,1953,330000
1,1,1,0,2,4,5050,1912,80000
3,1,1,0,3,7,6360,1954,465000
4,2,2,0,3,8,7324,1997,325000
3,2,1,0,4,7,28025,1947,340500
3,2,2,0,3,8,5192,1993,342500
2,2,2,0,3,6,17600,1930,290900
3,4,2,0,3,10,6161,2000,868700
4,2,2,0,3,9,8400,1928,1199000000
4,3,2,0,3,11,10259,2000,1.15e+006
4,2,2,0,3,9,6298,2011,859900
4,2,2,0,3,7,3006,2003,520000
3,2,2,0,3,9,2527,2005,460000
3,1,1,0,3,7,4590,1949,438924
2,1,1,0,3,5,6550,1918,315000
4,2,1,0,3,8,10650,1975,590000
4,1,1,0,3,7,8640,1955,378500
3,2,2,0,4,9,8130,1990,328500
3,3,2,0,4,8,9773,1973,849950
3,1,1,0,3,7,6000,1950,525000
4,3,2,0,3,9,181319,1993,1385000000
4,2,1,0,4,8,7725,1978,295000
6,3,2,0,3,11,11793,1998,1067000000
2,2,1,0,3,6,5000,1917,207950
4,2,2,0,3,9,7302,2002,699900
5,2,2,0,4,8,9500,1977,1.28e+006
4,1,1,0,4,7,7350,1963,452000
3,2,1,0,4,7,5036,1987,370000
3,1,1,0,5,7,11230,1968,232000
5,2,2,0,4,7,14062,1960,669950
3,2,1,0,3,7,6710,1972,397500
2,2,2,0,3,8,1391,2004,490000
4,2,2,0,3,9,4140,1925,725000
3,2,1,0,4,7,19635,1958,299000
2,1,1,0,4,7,5750,1900,625000
3,2,2,0,3,7,4500,2000,437500
4,2,2,0,3,9,5438,2003,650000
2,1,1,0,3,7,3825,1929,475000
3,2,1,0,4,8,11947,1966,342000
4,2,2,0,3,10,7800,1999,119735000000
3,1,1,0,4,7,11610,1963,280000
2,1,1,0,3,7,7200,1993,240000
3,1,1,0,4,7,3328,1924,529000
3,1,1,0,4,7,5100,1941,442000
2,1,1,0,4,7,6872,1946,615000
4,3,2,0,3,10,10800,2006,1485000000
4,1,1,0,4,8,7559,1981,585000
4,2,2,0,3,8,7787,2005,480000
5,3,2,0,4,9,57063,1990,1095000000
4,1,1,0,3,7,8184,1949,290000
3,1,1,0,5,7,5000,1951,615000
2,1,1,0,4,7,7680,1950,300000
3,1,1,0,3,6,39150,1932,308000
3,2,2,0,3,9,7745,2001,750000
4,2,2,0,5,9,8036,1916,2.25e+006
4,3,2,0,3,10,194278,2005,890000
3,1,1,0,5,6,7560,1958,288000
2,1,1,0,3,6,6000,1943,190000
5,3,1,0,3,8,5105,2005,515000
4,1,1,0,4,5,11054,1930,235000
2,1,1,0,3,6,5000,1951,275000
2,2,1,0,4,7,9119,1952,727500
4,2,2,0,3,7,6587,2003,650000
6,5,2,0,3,11,230652,2001,1.6e+006
4,1,1,0,3,6,7085,1944,365000
3,1,1,0,3,9,36947,1984,662000
3,2,1,0,3,7,7848,1978,270500
2,1,2,0,3,7,1898,1978,200000
4,3,2,0,3,10,76230,1987,970000
3,1,1,0,4,7,9600,1962,160000
3,1,1,0,4,6,7405,1971,204000
3,2,2,0,4,7,6655,1985,358000
4,1,1,0,3,7,8268,1979,452000
2,2,1,0,4,7,4000,1900,595000
3,2,1,0,3,7,6082,1994,249000
4,2,2,0,3,8,5106,1999,346900
3,2,2,1,4,12,24069,1976,2125000000
4,2,2,0,3,7,4350,2003,280000
4,1,1,0,4,8,12000,1973,318888
3,2,1,0,3,8,40518,1967,530000
3,2,2,0,4,8,18500,1983,375000
4,2,2,0,3,11,29242,1988,910000
4,2,2,0,4,10,9614,1991,782000
2,2,2,0,3,9,649,2008,259950
4,2,1,0,4,7,18360,1979,315000
2,1,1,0,4,6,8865,1943,215000
3,1,1,0,4,7,10221,1946,705000
3,3,2,0,5,10,6320,1952,1.45e+006
3,1,2,0,3,7,9813,1949,451000
2,1,1,0,4,6,8125,1943,261000
3,1,1,0,5,7,8280,1956,396000
4,2,2,0,3,9,29170,1999,725000
7,3,2,0,3,11,15235,1965,1.95e+006
4,1,1,0,3,7,7242,1959,238000
6,1,2,0,4,8,9563,1973,750000
4,2,2,0,3,7,10271,1998,331500
4,3,1,0,3,7,108900,1978,460000
4,2,1,0,4,8,217014,1982,404950
3,2,2,0,3,9,5163,2014,880000
4,2,2,0,3,10,22370,1997,863000
3,1,1,0,3,7,9162,1960,638700
3,2,2,0,3,7,5680,2008,435000
3,1,1,0,4,6,5350,1959,260000
5,2,1,0,5,7,4000,1927,671500
3,1,1,0,3,8,3400,1907,610000
2,1,1,0,4,6,15029,1937,405000
4,2,2,0,3,7,5612,2003,338900
4,4,2,0,3,10,7708,2004,720000
5,3,1,0,4,7,5445,1927,442000
5,2,1,0,5,8,5040,1902,650000
3,1,1,0,3,7,9917,1981,263500
2,1,1,0,4,7,75794,1963,300000
3,2,2,0,3,7,3402,2009,266000
4,4,2,0,3,9,84942,2009,930000
4,2,2,0,3,8,5493,2004,530000
3,1,1,0,4,6,8960,1965,180000
3,2,2,0,3,9,6439,2005,619000
3,1,1,0,4,7,10608,1962,264000
2,2,1,0,4,7,4920,1941,730000
4,2,2,0,3,7,10070,1975,439000
4,1,1,0,4,7,7500,1981,268500
3,1,1,0,3,7,15744,1985,330000
3,2,1,0,3,8,4000,1903,640000
3,2,2,0,4,11,12600,1978,900000
3,2,2,0,4,8,13300,1985,370000
3,2,1,0,5,8,2900,1931,685000
3,1,1,0,3,7,217800,1981,505000
3,1,1,0,4,7,32666,1966,265000
3,2,2,0,3,8,2937,2006,290000
4,2,2,0,3,7,3600,2006,296000
4,2,2,0,3,7,9611,1996,360000
3,1,1,0,3,7,10584,1997,240500
2,2,2,0,3,8,2958,2007,372500
3,2,2,0,3,9,14402,2004,595000
4,3,2,0,3,9,8249,1997,515000
4,2,2,0,4,9,15367,1962,1.22e+006
2,1,1,0,3,8,6460,2004,507000
4,2,1,0,3,9,31465,1984,399950
3,1,2,0,3,7,10816,1994,185000
3,1,1,0,3,7,7070,1980,460000
3,2,2,0,3,7,4789,1985,435500
4,2,1,0,5,8,13938,1966,469000
2,3,2,0,3,8,1175,2000,531000
2,1,1,0,3,7,6804,1949,443500
3,2,1,0,3,7,6824,1990,223000
4,3,2,0,3,8,15842,1996,590000
2,2,3,0,3,7,1760,1997,340000
3,2,1,0,4,8,3388,1925,650000
3,2,2,0,4,8,5080,1990,533600
3,2,2,0,3,9,4694,2005,695000
3,1,1,0,4,7,7524,1988,242000
3,2,1,0,3,7,8814,1967,425000
3,2,2,0,3,7,9414,1981,525000
3,2,2,0,3,8,5502,1988,485000
3,1,1,0,3,7,9775,1971,175000
3,2,1,0,3,8,7210,1983,210000
3,2,2,0,3,7,7415,1989,260000
3,2,1,0,3,7,5750,1976,577000
3,1,1,0,4,7,10588,1958,200000
2,1,1,0,4,7,5000,1927,605000
3,1,1,0,4,6,6750,1947,325000
3,1,1,0,4,6,6400,1944,289500
3,2,3,0,3,9,1458,2014,559950
3,1,1,0,4,8,9375,1941,10425000000
3,2,1,0,3,7,2790,1970,543500
4,2,2,0,4,9,34293,1983,480000
3,1,1,0,5,6,9633,1982,218000
2,1,1,0,4,7,6000,1914,565000
3,1,1,0,5,7,7700,1968,426700
3,2,1,0,3,8,11575,1957,650000
2,1,1,0,3,7,3060,1910,542000
3,1,1,0,3,7,8000,1977,415000
3,1,1,0,4,6,8316,1953,214000
3,1,2,0,5,7,8910,1949,245000
3,2,1,0,3,8,13303,1993,314500
3,1,2,0,5,9,5750,1924,1.12e+006
2,2,1,0,3,7,3850,1963,378000
4,2,1,0,3,7,9091,1982,305000
5,2,1,0,4,8,6750,1978,595000
3,2,3,0,3,9,1091,2015,729500
3,2,2,0,3,7,6699,2003,430000
3,1,1,0,3,7,6500,1987,240000
3,1,1,0,3,7,6200,1916,545000
3,1,1,0,3,7,2500,1918,530000
1,1,1,0,3,6,26326,1939,157000
4,1,1,0,3,6,7645,1925,425000
3,1,1,0,3,6,6020,1944,220000
4,1,1,0,4,8,36400,1976,521000
3,1,1,0,3,7,6862,1952,325000
3,2,1,0,4,7,5400,1911,597500
3,2,2,0,3,7,3976,1999,337000
3,2,2,0,3,10,10492,1991,1000000
